Feature ID	ERM	OC	LC	7:30J	8:30N
100575.1	79.91	240.27	82.96	24.1	26.55
1015031.1	2.15	50.56	23.95	16.08	12.93
1017100.1	103.27	6.09	35.99	12.98	16.02
1018913.1	44.92	7.49	19.41	14.98	17.39
1025276.1	41.53	54.63	30.02	41.16	36.65
1033221.1	40.02	22.62	4.87	11.04	8.16
1038247.1	28.19	24.58	10.87	17.22	18.05
1067243.1	2.15	811.48	248.39	156.36	167.08
1121023.1	36.32	24.98	11.37	11.26	4.64
1124071.1	48.35	36.06	12.4	11.74	10.74
1124568.1	79.27	108.59	54.04	57.49	39.75
1131927.1	3.92	15.37	41.33	69.65	46.74
1134077.1	6.06	21.27	8.68	2.94	10.68
1134682.1	14.67	8.85	30.33	34.09	37.06
1145986.1	7.81	15.31	4.9	1.58	2.94
1146025.1	0.63	18.8	523.71	678.14	639.9
1147622.1	45.7	6.45	47.35	45.83	59.14
1154641.1	5.36	8.97	24.07	29.2	24.53
1158547.1	979.6	287.04	1552.56	2068.66	1465.3
